Filename,Baseline None,Baseline O0,Baseline O1,Baseline O2,Baseline O3,Baseline Os,Baseline Oz,Prefix 0,Prefix 1,Prefix 2,Prefix 3,Prefix 4,Prefix 5,Prefix 6,Prefix 7,Prefix 8,Prefix 9,Prefix 10,Prefix 11,Prefix 12,Prefix 13,Prefix 14,Prefix 15,Prefix 16,Prefix 17,Prefix 18,Prefix 19,Prefix 20,Prefix 21,Prefix 22,Prefix 23,Prefix 24,Prefix 25,Prefix 26,Prefix 27,Prefix 28,Prefix 29,Prefix 30,Prefix 31,Prefix 32,Prefix 33,Prefix 34,Prefix 35,Prefix 36,Prefix 37,Prefix 38,Prefix 39,Prefix 40,Prefix 41,Prefix 42,Prefix 43,Prefix 44,Prefix 45,Prefix 46,Prefix 47,Prefix 48,Prefix 49,Prefix 50,Prefix 51,Prefix 52,Prefix 53,Prefix 54,Prefix 55,Prefix 56,Prefix 57,Prefix 58,Prefix 59,Prefix 60,Prefix 61,Prefix 62,Prefix 63,Prefix 64,Prefix 65,Prefix 66,Prefix 67,Prefix 68,Prefix 69,Prefix 70,Prefix 71,Prefix 72,Prefix 73,Prefix 74,Prefix 75,Prefix 76,Prefix 77,Prefix 78,Prefix 79
1.bc,127435745.00000000000000000,127435745.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,92904006.00000000000000000,127435745.00000000000000000,127435745.00000000000000000,127435745.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,92904006.00000000000000000,77862665.00000000000000000,77862665.00000000000000000,77862665.00000000000000000,77862665.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000,77855177.00000000000000000
11.bc,150547.00000000000000000,150547.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,150547.00000000000000000,150547.00000000000000000,150547.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,100605.00000000000000000,95372.00000000000000000,95372.00000000000000000,95372.00000000000000000,95372.00000000000000000,95372.00000000000000000,32137.00000000000000000,32137.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000,2.00000000000000000
2.bc,58081607123779.00000000000000000,58081607123779.00000000000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,42572055006709.00000000000000000,58081607123779.00000000000000000,58081607123779.00000000000000000,58081607123779.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,42572055006709.00000000000000000,36866004727908.67187500000000000,36866004727908.67187500000000000,36866004727908.67187500000000000,36866004727908.67187500000000000,36865996026351.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000,36865996027527.33593750000000000
4.bc,6705973294107042816.00000000000000000,6705973294107042816.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,3627832682245228032.00000000000000000,6705973294107042816.00000000000000000,6705973294107042816.00000000000000000,6705973294107042816.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,6299189889994435584.00000000000000000,83753677346855174144.00000000000000000,83753677346855174144.00000000000000000,83753677346855174144.00000000000000000,83753677346855174144.00000000000000000,81299892473554616320.00000000000000000,81299895170274410496.00000000000000000,81299895170274410496.00000000000000000,81299895170274410496.00000000000000000,81299895170274410496.00000000000000000,81299895170274410496.00000000000000000,81299895170274410496.00000000000000000,81299895170274410496.00000000000000000,81299895170274410496.00000000000000000,81299895170274410496.00000000000000000,81280488664740134912.00000000000000000,81280488664740134912.00000000000000000,81268540894172577792.00000000000000000,81268540894172577792.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000,81288861006045052928.00000000000000000
7.bc,29974986.86101354286074638,29960947.75355180725455284,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,29957393.58377615362405777,29989092.98851553350687027,30641584.01906331628561020,16965220.24885645508766174,16973567.04174351692199707,16967746.29019461199641228,16960045.42441182211041451,16967895.91755715757608414,16962525.18733149394392967,16959333.05650119483470917,16965926.53248241916298866,16959728.97821617498993874,16968197.83145322278141975,16978582.68207565322518349,20365070.94107467681169510,20358319.34989917650818825,20358523.74139935523271561,20349878.79265839606523514,20364869.03402803465723991,20359122.66992379724979401,20364725.19425155594944954,20357791.21030597388744354,20363963.09751691669225693,20368257.23255394399166107,20370047.31348583847284317,20371849.89933976903557777,20361084.11473149061203003,20364026.77995284646749496,20365132.50438592210412025,20371516.29582347720861435,20364770.09319500625133514,16969177.73062887787818909,,,,,,,,4934.00000000000000000,4934.00000000000000000,4934.00000000000000000,4934.00000000000000000,4934.00000000000000000,4934.00000000000000000,4934.00000000000000000,4934.00000000000000000,4934.00000000000000000,4934.00000000000000000,4934.00000000000000000,4934.00000000000000000,4934.00000000000000000,4735.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000,2852.00000000000000000
8.bc,2312829691729889436457127378944.00000000000000000,2312981310995347064657553653760.00000000000000000,248768999282007290675200.00000000000000000,249675756091054103724032.00000000000000000,102332257598790418432.00000000000000000,261344511157412065968128.00000000000000000,3482.00000000000000000,2355228922726275511165011361792.00000000000000000,2311811061580743883608289181696.00000000000000000,2321463565543889928502395273216.00000000000000000,1047742824870685482514510774272.00000000000000000,1043940892960609938854941556736.00000000000000000,1039961531862480370491029716992.00000000000000000,1056116569737980783155268812800.00000000000000000,1052997207043175562416675094528.00000000000000000,1064810546442775191743130238976.00000000000000000,1048633149597757477711910010880.00000000000000000,1052804147044283511175087390720.00000000000000000,1065327992581238473749631598592.00000000000000000,1049204127956526425287415562240.00000000000000000,1069353973633397357696197328896.00000000000000000,1048142456972996597643642667008.00000000000000000,1060708423161914012673089994752.00000000000000000,1059962620438691439422157619200.00000000000000000,1050398545509285757906782781440.00000000000000000,1050564855655805639820314673152.00000000000000000,1055040566915358115632636755968.00000000000000000,1062579432532570719802179452928.00000000000000000,1043662634964145171615899975680.00000000000000000,1055280854569941421320912764928.00000000000000000,1053725083528029835043318792192.00000000000000000,1067596696222989955369126592512.00000000000000000,1062999465627854894041470599168.00000000000000000,1046894653256454841484351373312.00000000000000000,1061219250351498915202912485376.00000000000000000,1057105136659610894677164687360.00000000000000000,1042686279681589545783974166528.00000000000000000,1054887754410935074579399311360.00000000000000000,1061200908238130662755409068032.00000000000000000,,,,,,,,99464299893100019712.00000000000000000,,104124150790385025024.00000000000000000,,103060092060361867264.00000000000000000,,,107383178829908180992.00000000000000000,,102183826695409385472.00000000000000000,97551727145909026816.00000000000000000,,,,,,,,,,,,,,,,,,,,,,103300609088922009600.00000000000000000,102677493733768298496.00000000000000000,102786120764362276864.00000000000000000,102798075481556844544.00000000000000000,102566925791925895168.00000000000000000,100710145570449096704.00000000000000000,103211755797040758784.00000000000000000,103368135548342452224.00000000000000000,102604791816713830400.00000000000000000
9.bc,11035.00000000000000000,11035.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,11035.00000000000000000,11035.00000000000000000,11035.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000,8686.00000000000000000
bellmanford.bc,73595964656.00000000000000000,73595964656.00000000000000000,73643721215.99998474121093750,73644410092.00000000000000000,73666334438.00001525878906250,73644410092.00000000000000000,37971228836.00000000000000000,73595964656.00000000000000000,73595964656.00000000000000000,73596641276.00000000000000000,44755961087.99999237060546875,41085071463.00000000000000000,41085071463.00000000000000000,41085071463.00000000000000000,41085071463.00000000000000000,41085071463.00000000000000000,41085071463.00000000000000000,41085071463.00000000000000000,41085071463.00000000000000000,41085071463.00000000000000000,41085071463.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41085748083.00000000000000000,41083764123.00000762939453125,77591447314.00000000000000000,71359739540.00000000000000000,74823447027.00001525878906250,74823111358.99998474121093750,74823111740.00001525878906250,73667136952.00000000000000000,73667136952.00000000000000000,73666325143.00001525878906250,73666325143.00001525878906250,73666325143.00001525878906250,73667016070.00000000000000000,73667016070.00000000000000000,73667016070.00000000000000000,73667016070.00000000000000000,73667016070.00000000000000000,73667016070.00000000000000000,73667016070.00000000000000000,73667016070.00000000000000000,73667016070.00000000000000000,73667016070.00000000000000000,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250,73666334438.00001525878906250
matmul.bc,81851229730576.00000000000000000,81851229730576.00000000000000000,51816004315126.00781250000000000,51816004315126.00781250000000000,53941443355789.00000000000000000,51816004315126.00781250000000000,55327309366868.00000000000000000,81851229730576.00000000000000000,81851229730576.00000000000000000,81851229730576.00000000000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,58159965491108.01562500000000000,55377133304025.99218750000000000,52539941745062.00000000000000000,54649642667313.99218750000000000,54665380783221.99218750000000000,54665380783221.99218750000000000,53941443353286.00781250000000000,53941443353286.00781250000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000,53941443355789.00000000000000000
pow.bc,23793941.00000000000000000,23793941.00000000000000000,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,10296232.00000000186264515,23793941.00000000000000000,23793941.00000000000000000,23793941.00000000000000000,17916442.00000000000000000,17916442.00000000000000000,17916442.00000000000000000,17916442.00000000000000000,17916442.00000000000000000,17916442.00000000000000000,17916442.00000000000000000,17916442.00000000000000000,17916442.00000000000000000,17916442.00000000000000000,17916442.00000000000000000,10977592.00000000000000000,10977592.00000000000000000,10977592.00000000000000000,10977592.00000000000000000,10977592.00000000000000000,10977592.00000000000000000,10977592.00000000000000000,10977592.00000000000000000,10977592.00000000000000000,10977592.00000000000000000,10977592.00000000000000000,10306252.00000000000000000,10306252.00000000000000000,10306252.00000000000000000,10306252.00000000000000000,10306252.00000000000000000,10296232.00000000186264515,10296232.00000000186264515,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257,4581287.00000000093132257
